45°39′58″N,45.66602748,73°48′58″W,-73.81617918,22.7789,323.316°
45°27′42″N,45.46156441,73°58′15″W,-73.97070275,26.0924,260.211°
45°26′59″N,45.4496151,73°48′57″W,-73.81591618,14.8234,246.952°
45°29′43″N,45.49514014,73°18′28″W,-73.30774473,26.0005,91.544°
45°31′43″N,45.5287374,73°33′02″W,-73.55059446,7.6589,67.052°
45°34′50″N,45.58044607,73°34′46″W,-73.57939489,9.9694,28.81°
45°40′47″N,45.67978052,73°35′09″W,-73.58591415,20.2433,12.233°
45°24′23″N,45.40652297,73°55′22″W,-73.92267586,24.3972,244.319°
45°21′43″N,45.36200371,73°24′22″W,-73.40621828,24.0487,130.243°
45°22′22″N,45.3728874,73°56′38″W,-73.94395921,27.6526,238.841°
45°25′59″N,45.43341416,73°54′56″W,-73.91555068,22.7235,250.504°
45°19′16″N,45.32122092,73°21′38″W,-73.36051383,29.7319,132.432°
45°33′22″N,45.5560796,73°54′03″W,-73.90091453,21.1211,286.663°
45°33′38″N,45.56051092,73°45′30″W,-73.75821485,11.2125,305.574°
45°30′59″N,45.51645709,73°48′23″W,-73.80647359,12.9907,277.206°
45°33′22″N,45.55619566,73°33′11″W,-73.55296513,9.1437,48.656°
45°26′42″N,45.44499738,73°51′15″W,-73.85423597,17.7883,249.224°
45°24′17″N,45.40464047,73°20′58″W,-73.34939883,25.2016,115.323°
45°25′36″N,45.42656625,73°21′22″W,-73.35618731,23.7543,110.561°
45°18′11″N,45.30305866,73°34′24″W,-73.5732711,22.7447,166.507°
45°31′04″N,45.51771597,73°42′17″W,-73.70484306,5.2692,289.494°
45°17′58″N,45.29946653,73°40′02″W,-73.66724251,22.611,185.188°
45°41′48″N,45.69665903,73°37′17″W,-73.62137352,21.7139,4.049°
45°43′52″N,45.73103823,73°33′26″W,-73.55719218,26.3064,14.339°
45°36′58″N,45.61614905,73°18′08″W,-73.30226366,29.2875,64.171°
45°40′32″N,45.67543816,73°47′04″W,-73.7845618,22.2966,329.999°
45°18′44″N,45.31212135,73°54′33″W,-73.90917231,29.7297,224.852°
45°31′19″N,45.5219535,73°36′33″W,-73.60925022,3.3359,48.092°
45°21′42″N,45.36157149,73°48′39″W,-73.81087161,20.4764,220.385°
45°20′07″N,45.3351963,73°55′23″W,-73.92305077,28.7824,229.987°
45°33′08″N,45.55222614,74°01′08″W,-74.01894814,29.9689,280.894°
45°24′41″N,45.41148656,73°28′29″W,-73.47476026,16.4202,127.719°
45°31′19″N,45.52204332,73°28′05″W,-73.46795292,13.6805,80.524°
45°16′23″N,45.27313285,73°45′20″W,-73.75565997,26.9751,199.414°
45°33′38″N,45.56046889,73°39′47″W,-73.66315375,6.7344,345.23°
45°37′56″N,45.63224731,73°21′31″W,-73.35864429,26.3414,56.513°
45°17′30″N,45.29158044,73°48′42″W,-73.81166548,26.9223,209.717°
45°16′46″N,45.27955111,73°26′00″W,-73.43336219,29.5818,146.658°
45°31′56″N,45.53227907,73°49′56″W,-73.83218458,15.2696,282.842°
45°22′45″N,45.37919266,73°56′42″W,-73.9449141,27.3586,240.177°
45°32′44″N,45.54543858,73°37′18″W,-73.62165372,5.0717,17.385°
45°46′05″N,45.76806506,73°39′39″W,-73.66082044,29.6414,357.042°
45°22′59″N,45.38328869,73°19′33″W,-73.32577797,27.9226,118.089°
45°43′52″N,45.73119552,73°38′28″W,-73.6411563,25.5009,359.992°
45°24′07″N,45.40184896,73°19′59″W,-73.33304469,26.4892,114.738°
45°21′42″N,45.36166266,73°25′41″W,-73.42801584,22.8042,133.091°
45°43′04″N,45.71775417,73°43′15″W,-73.72083374,24.7944,345.54°
45°44′12″N,45.7366264,73°35′25″W,-73.59014243,26.4043,8.618°
45°23′05″N,45.38468418,73°36′24″W,-73.60674834,13.3131,168.368°
45°27′03″N,45.45089806,73°59′36″W,-73.9934522,28.06,258.456°
45°35′50″N,45.59722655,73°26′58″W,-73.44939627,18.3124,54.562°
45°39′59″N,45.66679367,73°39′49″W,-73.66374032,18.4222,354.52°
45°29′37″N,45.49371056,73°44′58″W,-73.74948391,8.4985,263.867°
45°18′43″N,45.31189975,73°50′32″W,-73.84223681,26.3324,216.687°
45°22′21″N,45.3725742,73°44′14″W,-73.73735323,16.2301,207.603°
45°29′00″N,45.48345157,73°28′41″W,-73.47812266,12.873,99.126°
45°29′54″N,45.49841549,73°52′37″W,-73.87681985,18.3801,268.867°
45°22′47″N,45.37985528,73°43′31″W,-73.72517285,15.0793,205.82°
45°41′21″N,45.68919789,73°26′23″W,-73.43967193,26.0701,36.895°
45°38′07″N,45.63531471,73°32′05″W,-73.53481474,16.9888,29.117°
45°35′34″N,45.59291636,73°38′05″W,-73.63467731,10.133,2.831°
45°33′23″N,45.55633407,73°45′38″W,-73.76056186,11.1021,303.074°
45°33′38″N,45.56047837,73°17′45″W,-73.29572821,27.6876,76.272°
45°37′27″N,45.62429549,73°39′33″W,-73.65915703,13.6832,354.111°
45°26′40″N,45.44437931,73°33′23″W,-73.55635941,9.2011,134.047°
45°36′25″N,45.60693982,73°23′07″W,-73.38522578,23.0998,59.534°
45°18′30″N,45.30826793,73°40′06″W,-73.66838996,21.6449,185.658°
45°38′04″N,45.63450647,73°30′33″W,-73.50919782,17.971,34.811°
